origin,time_minutes,isochrone_area_ha,supermarkets,pharmacies,hospitals,clinics,schools,cafes,restaurants,transit_stops,parks,park_area_ha
Amsterdam Centraal,5,22.60926066541317,0,1,0,0,0,13,22,27,0,0.0
Amsterdam Centraal,10,78.24612407271741,6,2,0,0,0,60,168,40,0,0.0
Amsterdam Centraal,15,162.01663239976457,12,3,0,0,2,110,285,66,2,0.05361386842707472
Amsterdam Zuid,5,18.37748892271555,1,0,0,0,0,12,13,11,0,0.0
Amsterdam Zuid,10,59.73505344374787,2,1,0,1,1,14,23,27,5,0.4659861924776842
Amsterdam Zuid,15,142.81390440156218,3,1,0,2,1,21,26,43,5,14.84011310467535
Sloterdijk,5,21.526073155004447,0,0,0,0,0,1,5,22,0,0.0
Sloterdijk,10,65.49461997087944,0,0,0,1,0,2,6,27,2,0.2960046622128327
Sloterdijk,15,119.46899120015068,0,0,0,1,0,2,10,35,2,0.48279777935539403
Dam Square,5,29.111558483154205,2,1,0,0,0,36,78,16,1,0.16938062192732417
Dam Square,10,106.95927164905503,9,2,0,0,0,118,290,40,2,0.2698942007825002
Dam Square,15,220.14636997376675,16,3,0,0,4,197,474,73,2,0.2698942007825002
Muiderpoort,5,11.888205723251396,1,0,0,0,1,0,3,5,0,0.0
Muiderpoort,10,56.80338278923243,10,3,0,0,6,10,27,23,1,0.3674885712081762
Muiderpoort,15,133.22616182876473,18,4,0,0,10,17,63,49,3,3.23882676694592
